Nome de usuário,Nome,Sobrenome,Nome de exibição,Cargo,Departamento,Número comercial,Telefone comercial,Celular,Fax,Endereço de email alternativo,Endereço,Cidade,Estado ou província,CEP,País ou região
ana.silva@frexco.com.br,Ana,Silva,Ana Silva,Analista de Marketing,Marketing,,,,,,,,,
carlos.oliveira@frexco.com.br,Carlos,Oliveira,Carlos Oliveira,Desenvolvedor Front-end,Tecnologia da Informação,,,,,,,,,
maria.santos@frexco.com.br,Maria,Santos,Maria Santos,Gerente de Recursos Humanos,Recursos Humanos,,,,,,,,,
joao.pereira@frexco.com.br,João,Pereira,João Pereira,Analista Financeiro,Financeiro,,,,,,,,,
luana.souza@frexco.com.br,Luana,Souza,Luana Souza,Engenheiro de Software,Desenvolvimento,,,,,,,,,
pedro.costa@frexco.com.br,Pedro,Costa,Pedro Costa,Designer Gráfico,Design,,,,,,,,,
beatriz.lima@frexco.com.br,Beatriz,Lima,Beatriz Lima,Coordenador de Vendas,Vendas,,,,,,,,,
marcos.fernandes@frexco.com.br,Marcos,Fernandes,Marcos Fernandes,Analista de Suporte Técnico,Suporte Técnico,,,,,,,,,
julia.almeida@frexco.com.br,Julia,Almeida,Julia Almeida,Especialista em RH,Recursos Humanos,,,,,,,,,
rafael.martins@frexco.com.br,Rafael,Martins,Rafael Martins,Analista de Qualidade,Qualidade,,,,,,,,,
laura.pereira@frexco.com.br,Laura,Pereira,Laura Pereira,Analista de Marketing,Marketing,,,,,,,,,
lucas.oliveira@frexco.com.br,Lucas,Oliveira,Lucas Oliveira,Desenvolvedor Front-end,Tecnologia da Informação,,,,,,,,,
isabela.lima@frexco.com.br,Isabela,Lima,Isabela Lima,Gerente de Recursos Humanos,Recursos Humanos,,,,,,,,,
matheus.costa@frexco.com.br,Matheus,Costa,Matheus Costa,Analista Financeiro,Financeiro,,,,,,,,,
camila.silva@frexco.com.br,Camila,Silva,Camila Silva,Engenheiro de Software,Desenvolvimento,,,,,,,,,
gabriel.fernandes@frexco.com.br,Gabriel,Fernandes,Gabriel Fernandes,Designer Gráfico,Design,,,,,,,,,
sophia.almeida@frexco.com.br,Sophia,Almeida,Sophia Almeida,Coordenador de Vendas,Vendas,,,,,,,,,
enzo.martins@frexco.com.br,Enzo,Martins,Enzo Martins,Analista de Suporte Técnico,Suporte Técnico,,,,,,,,,
manuela.oliveira@frexco.com.br,Manuela,Oliveira,Manuela Oliveira,Especialista em RH,Recursos Humanos,,,,,,,,,
luan.santos@frexco.com.br,Luan,Santos,Luan Santos,Analista de Qualidade,Qualidade,,,,,,,,,
